-1	3.44	-0.271
-1	3.031	3.117
-1	3.097	0.771
1	-0.519	-4.325
-1	-4.291	3.927
-1	-0.433	2.856
1	4.497	-2.647
-1	-0.414	1.965
-1	0.306	-0.317
-1	1.219	3.624
-1	-3.472	-2.129
-1	0.732	3.829
1	4.503	-4.981
1	3.27	-1.632
-1	4.708	1.715
-1	1.34	3.149
1	2.796	-4.277
-1	-2.382	-2.755
-1	-2.154	-1.549
-1	-2.079	-1.445
-1	-2.621	2.488
-1	2.764	3.228
1	4.841	-2.65
1	0.193	-3.5
-1	2.034	2.764
-1	-4.876	-0.086
-1	1.987	0.856
-1	-1.257	1.491
-1	-2.773	3.365
1	4.859	-3.064
-1	-3.568	-2.449
-1	1.437	4.228
-1	-1.725	0.407
-1	-3.526	1.121
1	3.858	-0.605
1	1.029	-3.763
1	3.235	-1.207
-1	0.818	-0.572
1	1.143	-3.989
-1	0.928	4.529
1	3.776	-2.596
-1	-0.557	0.763
-1	-0.387	-0.462
-1	3.606	1.84
-1	-2.096	-0.182
1	0.128	-4.312
-1	2.369	2.917
-1	4.917	1.996
-1	-1.676	2.743
1	4.47	-2.817
-1	3.49	0.499
-1	4.772	1.725
-1	0.644	0.59
-1	2.505	3.139
-1	-2.046	4.786
-1	2.669	3.082
-1	3.542	3.464
-1	-4.803	4.507
-1	4.355	3.804
-1	1.348	3.611
-1	-1.378	2.828
-1	4.299	2.343
-1	0.746	0.568
-1	-0.66	0.422
-1	-1.689	-1.19
1	2.605	-3.199
-1	0.661	-1.27
1	-0.122	-3.695
-1	4.32	3.736
-1	4.444	3.626
1	3.522	-1.535
1	1.708	-1.584
1	3.282	-1.742
-1	-2.076	2.637
-1	-2.938	0.624
-1	-2.4	-2.964
1	-1.548	-3.101
-1	4.379	0.55
1	2.468	-4.929
-1	-4.027	2.131
-1	-1.119	-0.07
-1	3.933	0.894
1	3.66	-4.837
-1	2.199	2.981
1	3.899	-2.004
-1	-2.041	-1.227
-1	-2.187	4.668
1	2.19	-3.905
-1	-2.074	1.466
1	0.084	-3.66
-1	-2.91	2.684
-1	-1.624	0.542
-1	0.936	4.107
-1	2.445	4.756
-1	4.179	3.418
-1	1.887	4.412
1	-1.652	-2.828
-1	-3.341	-2.991
-1	-2.664	0.21
-1	1.342	2.587
-1	3.206	4.301
-1	2.713	2.372
1	0.321	-3.745
-1	-0.181	-0.401
-1	2.721	4.904
-1	0.939	4.811
-1	-1.06	0.667
-1	-3.295	1.228
-1	-3.873	4.15
-1	0.984	1.658
-1	-1.08	4.224
-1	-2.578	2.269
-1	-3.604	-0.919
1	0.63	-4.916
1	4.292	-3.028
1	2.672	-1.15
-1	2.625	0.385
-1	-3.778	4.299
-1	1.64	1.042
1	-1.102	-4.287
-1	-2.702	1.19
-1	-4.476	-2.41
-1	3.209	3.581
-1	3.819	4.336
1	2.732	-3.845
-1	0.994	3.004
-1	-4.621	-0.231
1	0.273	-3.224
-1	3.85	2.255
-1	-3.14	3.142
-1	0.579	0.884
-1	-3.007	-1.795
-1	2.621	4.567
1	-2.496	-4.387
-1	-3.039	-2.246
-1	-3.674	-0.741
-1	3.944	3.202
-1	-1.798	-1.494
1	1.784	-2.979
1	-2.158	-4.132
-1	4.528	0.189
-1	3.872	4.908
1	4.958	-4.502
-1	3.036	3.808
-1	2.753	1.248
-1	-1.697	-1.667
1	-2.867	-3.352
-1	-2.11	4.754
1	2.567	-3.254
-1	-4.632	4.529
-1	-0.5	3.046
-1	-1.212	4.797
-1	1.249	1.99
-1	-1.697	-1.967
1	0.363	-2.503
-1	-4.747	-0.108
-1	2.686	4.125
-1	-3.848	-1.004
-1	0.975	4.188
1	4.157	-1.271
1	0.436	-2.54
-1	-1.586	-1.079
-1	-4.54	1.304
-1	-4.972	3.027
-1	3.05	1.748
-1	2.556	3.902
-1	-0.206	2.697
1	3.699	-3.957
